iter	Passed	Remaining
0	11	5645
1	24	6165
2	36	6029
3	48	6063
4	60	5981
5	72	5928
6	83	5901
7	95	5860
8	107	5881
9	122	5999
10	135	6043
11	149	6084
12	160	6016
13	171	5949
14	182	5908
15	193	5864
16	203	5794
17	215	5779
18	227	5767
19	238	5722
20	249	5699
21	261	5688
22	272	5641
23	287	5707
24	301	5724
25	315	5748
26	330	5781
27	341	5757
28	353	5737
29	364	5708
30	376	5695
31	387	5672
32	398	5646
33	409	5610
34	420	5581
35	431	5562
36	441	5526
37	451	5488
38	461	5455
39	471	5420
40	481	5385
41	490	5353
42	501	5330
43	511	5303
44	521	5275
45	531	5250
46	542	5227
47	552	5204
48	563	5184
49	573	5162
50	583	5136
51	593	5114
52	602	5083
53	612	5056
54	622	5036
55	632	5012
56	643	4999
57	654	4987
58	666	4981
59	677	4970
60	688	4956
61	700	4945
62	712	4939
63	724	4933
64	736	4926
65	745	4905
66	756	4887
67	767	4875
68	780	4872
69	790	4857
70	803	4857
71	819	4869
72	835	4886
73	851	4899
74	867	4917
75	884	4935
76	902	4957
77	918	4969
78	935	4984
79	952	5000
80	970	5020
81	987	5033
82	1007	5059
83	1027	5086
84	1045	5104
85	1065	5128
86	1092	5188
87	1123	5260
88	1153	5327
89	1171	5339
90	1192	5360
91	1253	5560
92	1308	5725
93	1347	5819
94	1395	5950
95	1437	6049
96	1482	6157
97	1525	6256
98	1573	6371
99	1605	6422
100	1623	6411
101	1639	6395
102	1654	6377
103	1669	6356
104	1684	6336
105	1698	6311
106	1712	6288
107	1724	6259
108	1737	6232
109	1749	6203
110	1762	6175
111	1774	6147
112	1786	6118
113	1798	6089
114	1810	6059
115	1822	6032
116	1834	6005
117	1846	5979
118	1857	5947
119	1869	5920
120	1885	5904
121	1896	5876
122	1910	5855
123	1922	5830
124	1935	5805
125	1947	5781
126	1959	5755
127	1971	5729
128	1982	5702
129	1995	5678
130	2006	5651
131	2018	5626
132	2030	5602
133	2043	5580
134	2055	5556
135	2068	5535
136	2080	5513
137	2098	5504
138	2111	5484
139	2126	5467
140	2140	5449
141	2152	5427
142	2166	5407
143	2178	5385
144	2190	5362
145	2203	5342
146	2215	5320
147	2227	5298
148	2239	5276
149	2252	5256
150	2265	5235
151	2276	5212
152	2288	5191
153	2301	5171
154	2318	5161
155	2333	5145
156	2346	5127
157	2359	5107
158	2373	5091
159	2388	5074
160	2401	5056
161	2415	5040
162	2429	5023
163	2511	5145
164	2594	5267
165	2608	5248
166	2653	5291
167	2669	5274
168	2682	5254
169	2695	5233
170	2711	5216
171	2724	5195
172	2737	5175
173	2750	5152
174	2761	5129
175	2774	5106
176	2785	5082
177	2797	5059
178	2809	5038
179	2820	5014
180	2833	4994
181	2847	4974
182	2862	4958
183	2875	4937
184	2887	4916
185	2915	4922
186	2941	4922
187	2959	4911
188	2975	4895
189	2993	4883
190	3008	4867
191	3023	4850
192	3039	4834
193	3056	4820
194	3069	4801
195	3084	4784
196	3098	4764
197	3112	4747
198	3125	4728
199	3139	4709
200	3158	4698
201	3175	4684
202	3187	4663
203	3204	4650
204	3217	4629
205	3237	4619
206	3251	4601
207	3264	4582
208	3279	4566
209	3299	4556
210	3316	4542
211	3335	4531
212	3357	4523
213	3431	4586
214	3584	4751
215	3603	4737
216	3623	4724
217	3657	4730
218	3679	4721
219	3693	4700
220	3710	4684
221	3726	4666
222	3742	4648
223	3761	4634
224	3778	4617
225	3796	4602
226	3815	4589
227	3827	4566
228	3841	4545
229	3855	4525
230	3867	4504
231	3882	4484
232	3895	4464
233	3908	4442
234	3920	4421
235	3934	4401
236	3953	4386
237	3966	4366
238	3980	4346
239	3996	4329
240	4012	4312
241	4026	4293
242	4042	4275
243	4058	4257
244	4072	4238
245	4085	4218
246	4099	4199
247	4113	4180
248	4127	4160
249	4142	4142
250	4159	4126
251	4175	4109
252	4192	4092
253	4206	4074
254	4223	4057
255	4237	4038
256	4254	4022
257	4271	4006
258	4289	3991
259	4310	3979
260	4331	3966
261	4351	3952
262	4369	3937
263	4383	3918
264	4399	3901
265	4413	3882
266	4427	3863
267	4442	3845
268	4458	3828
269	4474	3812
270	4487	3791
271	4501	3772
272	4515	3754
273	4530	3736
274	4543	3717
275	4556	3698
276	4569	3678
277	4581	3658
278	4594	3639
279	4607	3620
280	4620	3600
281	4632	3581
282	4646	3563
283	4664	3547
284	4681	3531
285	4699	3516
286	4721	3504
287	4744	3492
288	4762	3477
289	4779	3461
290	4796	3444
291	4809	3426
292	4822	3406
293	4837	3389
294	4849	3370
295	4862	3351
296	4875	3332
297	4887	3313
298	4901	3294
299	4914	3276
300	4926	3257
301	4939	3238
302	4953	3220
303	4967	3202
304	4983	3186
305	5016	3180
306	5032	3163
307	5046	3146
308	5061	3128
309	5074	3109
310	5088	3092
311	5101	3073
312	5114	3055
313	5128	3037
314	5146	3022
315	5161	3005
316	5175	2987
317	5189	2970
318	5203	2952
319	5218	2935
320	5234	2918
321	5251	2903
322	5267	2886
323	5286	2871
324	5304	2856
325	5321	2840
326	5338	2824
327	5353	2807
328	5371	2791
329	5386	2775
330	5401	2757
331	5417	2741
332	5432	2724
333	5447	2707
334	5461	2690
335	5475	2672
336	5490	2655
337	5504	2638
338	5517	2620
339	5532	2603
340	5545	2585
341	5557	2567
342	5570	2549
343	5581	2531
344	5593	2513
345	5606	2495
346	5620	2477
347	5631	2459
348	5643	2441
349	5656	2424
350	5668	2406
351	5679	2387
352	5691	2369
353	5703	2352
354	5714	2334
355	5726	2316
356	5741	2299
357	5754	2282
358	5766	2264
359	5779	2247
360	5791	2229
361	5803	2212
362	5814	2194
363	5826	2176
364	5838	2159
365	5849	2141
366	5863	2124
367	5876	2107
368	5889	2090
369	5902	2073
370	5914	2056
371	5928	2039
372	5942	2023
373	5954	2006
374	5967	1989
375	5980	1972
376	5993	1955
377	6007	1938
378	6020	1922
379	6033	1905
380	6045	1888
381	6057	1871
382	6072	1855
383	6085	1838
384	6098	1821
385	6110	1804
386	6123	1788
387	6135	1771
388	6149	1754
389	6165	1739
390	6186	1724
391	6206	1710
392	6228	1695
393	6241	1679
394	6264	1665
395	6363	1671
396	6420	1665
397	6471	1658
398	6501	1645
399	6526	1631
400	6563	1620
401	6595	1607
402	6625	1594
403	6660	1582
404	6681	1567
405	6701	1551
406	6718	1535
407	6735	1518
408	6752	1502
409	6765	1485
410	6782	1468
411	6798	1452
412	6814	1435
413	6828	1418
414	6842	1401
415	6854	1384
416	6869	1367
417	6881	1349
418	6894	1332
419	6907	1315
420	6920	1298
421	6936	1282
422	6948	1264
423	6963	1248
424	6978	1231
425	6993	1214
426	7010	1198
427	7030	1182
428	7049	1166
429	7065	1150
430	7084	1134
431	7101	1117
432	7115	1101
