model,fold,MAE,RMSE,MAPE,sMAPE,R2,MASE
XGBoost,1,2052.26,2547.889,14.509,13.941,-0.0136,2.292
XGBoost,2,213.617,278.58,1.479,1.478,0.9817,0.223
XGBoost,3,155.763,206.572,1.062,1.061,0.9937,0.177
XGBoost,4,151.794,214.284,0.943,0.946,0.9915,0.148
XGBoost,5,127.878,171.029,0.864,0.864,0.9949,0.144
LightGBM,1,2052.26,2547.889,14.509,13.941,-0.0136,2.292
LightGBM,2,216.979,282.296,1.503,1.503,0.9812,0.226
LightGBM,3,154.985,204.176,1.061,1.06,0.9938,0.176
LightGBM,4,158.316,223.984,0.982,0.986,0.9907,0.154
LightGBM,5,127.556,171.158,0.861,0.861,0.9949,0.144
RandomForest,1,2056.379,2550.167,14.555,13.969,-0.0154,2.297
RandomForest,2,344.813,458.905,2.383,2.383,0.9504,0.359
RandomForest,3,266.555,336.811,1.849,1.842,0.9831,0.303
RandomForest,4,276.828,396.121,1.691,1.702,0.9709,0.269
RandomForest,5,202.407,270.39,1.364,1.363,0.9874,0.228
