model,subset,n_features,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
arima,top_5,5,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,top_10,10,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,top_20,20,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,top_30,30,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,top_50,50,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,all,118,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,calendar_only,8,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,lag_only,7,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
arima,zabin_22,22,10,82.2919,33.0373,96.071,36.7181,56.8808,22.0965,-3.865,3.5233
cart,top_10,10,10,6.8145,2.4567,10.6082,4.8762,4.7794,1.4872,0.9352,0.0646
cart,top_5,5,10,7.3157,3.26,11.746,7.0523,5.0607,1.9044,0.91,0.1092
cart,top_50,50,10,7.583,2.224,10.9061,3.5894,5.3413,1.4114,0.9365,0.0492
cart,top_30,30,10,7.6668,2.3707,11.1068,3.8103,5.3797,1.3928,0.9336,0.0545
cart,all,115,10,7.9167,1.6104,11.1743,2.6194,5.6544,1.1379,0.9373,0.036
cart,top_20,20,10,8.081,2.9145,12.2291,5.2873,5.7397,1.7843,0.9148,0.0804
cart,lag_only,7,10,8.843,3.394,13.5909,6.7652,6.1717,2.0916,0.8897,0.1153
cart,zabin_22,22,10,10.9326,4.7444,16.1705,7.107,7.4867,2.8598,0.8504,0.1437
cart,calendar_only,8,10,24.9173,7.2528,33.1966,8.6152,16.4331,4.4807,0.4559,0.3234
catboost,all,115,10,2.6243,0.6362,4.0972,1.5368,1.9627,0.8088,0.9908,0.0074
