model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
LSTM,4.244,5.933,2.697,2.705,0.9802,0.322,2056.26,1,top_5,5,31064,2920,lstm
LSTM,9.164,17.415,6.179,6.066,0.8261,0.331,2035.91,2,top_5,5,33984,2920,lstm
LSTM,4.064,5.146,3.062,3.024,0.9879,0.283,2135.35,3,top_5,5,36904,2920,lstm
LSTM,3.032,4.21,2.218,2.204,0.9906,0.257,2393.24,4,top_5,5,39824,2920,lstm
LSTM,11.472,21.819,7.293,7.022,0.7676,0.448,2553.05,5,top_5,5,42744,2920,lstm
LSTM,3.733,4.972,2.59,2.566,0.993,0.251,2745.97,6,top_5,5,45664,2920,lstm
LSTM,3.174,4.42,2.128,2.123,0.9908,0.256,2983.27,7,top_5,5,48584,2920,lstm
LSTM,8.903,16.94,5.846,5.553,0.8639,0.318,3106.93,8,top_5,5,51504,2920,lstm
LSTM,3.163,4.094,2.277,2.252,0.9949,0.234,3537.78,9,top_5,5,54424,2920,lstm
LSTM,4.14,6.458,4.299,3.571,0.9805,0.323,3751.6,10,top_5,5,57344,2920,lstm
LSTM,3.512,5.005,2.324,2.322,0.9859,0.267,2283.09,1,top_10,10,31064,2920,lstm
LSTM,8.87,17.178,6.04,5.91,0.8308,0.321,2240.1,2,top_10,10,33984,2920,lstm
LSTM,3.484,4.503,2.593,2.576,0.9907,0.243,2662.1,3,top_10,10,36904,2920,lstm
LSTM,3.045,4.111,2.212,2.204,0.991,0.258,2703.62,4,top_10,10,39824,2920,lstm
LSTM,11.222,21.603,7.065,6.81,0.7722,0.438,2791.34,5,top_10,10,42744,2920,lstm
LSTM,4.849,6.538,3.293,3.255,0.9879,0.326,2324.96,6,top_10,10,45664,2920,lstm
LSTM,2.905,4.087,1.967,1.965,0.9922,0.235,3235.86,7,top_10,10,48584,2920,lstm
LSTM,8.99,16.904,5.969,5.605,0.8645,0.321,3548.99,8,top_10,10,51504,2920,lstm
LSTM,3.289,4.246,2.398,2.372,0.9945,0.243,3872.37,9,top_10,10,54424,2920,lstm
LSTM,3.697,6.542,4.243,3.32,0.98,0.288,3995.84,10,top_10,10,57344,2920,lstm
LSTM,3.486,4.878,2.331,2.332,0.9866,0.265,2186.09,1,top_20,20,31064,2920,lstm
LSTM,9.09,17.292,6.158,6.012,0.8286,0.329,2328.92,2,top_20,20,33984,2920,lstm
LSTM,3.543,4.528,2.612,2.588,0.9906,0.247,2484.2,3,top_20,20,36904,2920,lstm
LSTM,3.892,5.115,2.837,2.808,0.9861,0.33,3030.07,4,top_20,20,39824,2920,lstm
LSTM,12.082,22.929,7.531,7.273,0.7434,0.472,3770.93,5,top_20,20,42744,2920,lstm
LSTM,8.323,11.042,5.259,5.223,0.9653,0.56,2896.14,6,top_20,20,45664,2920,lstm
LSTM,3.008,4.179,2.059,2.054,0.9918,0.243,3305.25,7,top_20,20,48584,2920,lstm
LSTM,8.572,16.968,5.714,5.386,0.8634,0.306,3577.62,8,top_20,20,51504,2920,lstm
LSTM,3.266,4.167,2.424,2.397,0.9947,0.241,3752.78,9,top_20,20,54424,2920,lstm
LSTM,3.762,6.68,4.367,3.383,0.9792,0.293,3924.72,10,top_20,20,57344,2920,lstm
LSTM,3.575,5.026,2.39,2.389,0.9858,0.271,2229.17,1,top_30,30,31064,2920,lstm
LSTM,9.46,17.415,6.504,6.324,0.8261,0.342,2349.1,2,top_30,30,33984,2920,lstm
LSTM,3.957,4.948,2.971,2.949,0.9888,0.276,2283.55,3,top_30,30,36904,2920,lstm
LSTM,2.995,4.091,2.168,2.17,0.9911,0.254,3098.76,4,top_30,30,39824,2920,lstm
LSTM,11.365,21.998,7.045,6.875,0.7638,0.444,3008.67,5,top_30,30,42744,2920,lstm
LSTM,7.049,9.052,4.66,4.612,0.9767,0.474,8377.0,6,top_30,30,45664,2920,lstm
LSTM,2.908,4.049,2.007,2.002,0.9923,0.235,4128.47,7,top_30,30,48584,2920,lstm
LSTM,8.793,17.036,5.871,5.488,0.8623,0.314,4303.88,8,top_30,30,51504,2920,lstm
LSTM,3.384,4.353,2.424,2.403,0.9942,0.25,12862.14,9,top_30,30,54424,2920,lstm
