model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
Informer,4.202,5.817,2.775,2.774,0.981,0.319,3269.97,1,all,115,31064,2920,informer
Informer,10.63,18.119,7.297,7.093,0.8118,0.384,2161.51,2,all,115,33984,2920,informer
Informer,3.674,4.768,2.673,2.658,0.9896,0.256,4075.81,3,all,115,36904,2920,informer
Informer,3.667,4.761,2.643,2.622,0.9879,0.311,3229.0,4,all,115,39824,2920,informer
Informer,11.95,22.255,7.484,7.299,0.7583,0.467,3729.92,5,all,115,42744,2920,informer
Informer,4.754,6.907,2.984,3.0,0.9864,0.32,3190.34,6,all,115,45664,2920,informer
Informer,3.981,5.589,2.597,2.588,0.9853,0.321,3623.67,7,all,115,48584,2920,informer
Informer,9.898,18.125,6.366,6.174,0.8442,0.354,3649.27,8,all,115,51504,2920,informer
Informer,4.328,5.79,2.892,2.901,0.9898,0.32,5348.49,9,all,115,54424,2920,informer
Informer,4.584,8.894,5.854,4.039,0.9631,0.357,6160.85,10,all,115,57344,2920,informer
