,pearson,spearman,mutual_info,anova_f,lasso,rf_importance,xgb_importance,mrmr
w1,55.0,52.0,30.0,53.0,94.0,66.0,47.0,62.0
w2,67.0,75.0,15.0,62.0,21.0,51.0,28.0,75.0
w3,65.0,53.0,39.0,70.0,94.0,57.0,108.0,74.0
w4,63.0,54.0,29.0,63.0,94.0,56.0,92.0,71.0
w5,75.0,68.0,35.0,72.0,63.0,30.0,34.0,82.0
w6,76.0,66.0,14.0,73.0,94.0,6.0,14.0,83.0
w7,82.0,74.0,20.0,76.0,15.0,47.0,45.0,88.0
w8,73.0,78.0,25.0,69.0,13.0,52.0,54.0,81.0
w9,79.0,76.0,43.0,75.0,38.0,44.0,58.0,84.0
w10,71.0,69.0,16.0,64.0,12.0,18.0,18.0,79.0
w11,61.0,59.0,18.0,57.0,11.0,59.0,35.0,69.0
w12,68.0,65.0,23.0,61.0,94.0,90.0,49.0,76.0
w13,56.0,73.0,17.0,51.0,33.0,32.0,24.0,64.0
w14,83.0,64.0,36.0,83.0,94.0,37.0,40.0,89.0
w15,60.0,62.0,21.0,54.0,94.0,33.0,53.0,68.0
w16,85.0,63.0,32.0,80.0,58.0,46.0,64.0,90.0
w17,58.0,55.0,37.0,58.0,94.0,65.0,76.0,67.0
w18,89.0,67.0,26.0,82.0,94.0,24.0,21.0,97.0
w19,53.0,58.0,33.0,59.0,35.0,70.0,55.0,61.0
w20,86.0,71.0,31.0,79.0,94.0,45.0,65.0,91.0
w21,70.0,79.0,19.0,71.0,37.0,29.0,36.0,77.0
w22,78.0,81.0,11.0,68.0,94.0,12.0,19.0,85.0
w23,72.0,70.0,24.0,67.0,17.0,40.0,39.0,80.0
w24,62.0,61.0,13.0,52.0,94.0,23.0,66.0,70.0
w25,64.0,72.0,12.0,56.0,94.0,15.0,22.0,73.0
temp_avg,69.0,56.5,6.0,65.0,94.0,13.0,15.0,78.0
lag_1h,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lag_2h,2.0,2.0,2.0,2.0,94.0,41.0,6.0,3.0
lag_3h,5.0,6.0,27.0,5.0,20.0,43.0,42.0,6.0
lag_6h,33.0,32.0,68.0,32.0,7.0,80.0,112.0,38.0
lag_12h,45.0,38.0,77.0,43.0,94.0,64.0,83.0,53.0
lag_24h,4.0,4.0,3.0,4.0,9.0,35.0,2.0,4.0
lag_48h,9.0,10.0,40.0,9.0,28.0,72.0,84.0,7.0
lag_72h,11.0,13.0,49.0,12.0,30.0,73.0,73.0,11.0
lag_168h,16.0,20.0,58.0,17.0,19.0,71.0,59.0,14.0
lag_336h,21.0,25.0,70.0,24.0,34.0,76.0,91.0,18.0
roll_mean_6h,6.0,5.0,28.0,6.0,50.0,77.0,100.0,8.0
roll_std_6h,44.0,46.0,85.0,47.0,44.0,36.0,62.0,49.0
roll_max_6h,7.0,9.0,8.0,7.0,94.0,19.0,8.0,9.0
roll_min_6h,8.0,7.0,5.0,8.0,94.0,62.0,17.0,10.0
roll_mean_12h,20.0,18.0,50.0,20.0,94.0,38.0,30.0,23.0
roll_std_12h,36.0,35.0,78.0,36.0,70.0,42.0,78.0,40.0
roll_max_12h,18.0,17.0,22.0,18.0,10.0,7.0,20.0,21.0
roll_min_12h,26.0,21.0,41.0,21.0,16.0,34.0,60.0,29.0
roll_mean_24h,12.0,11.0,45.0,11.0,22.0,16.0,23.0,15.0
roll_std_24h,29.0,29.0,66.0,30.0,23.0,63.0,89.0,31.0
roll_max_24h,14.0,14.0,34.0,14.0,94.0,31.0,38.0,17.0
roll_min_24h,25.0,22.0,48.0,22.0,45.0,20.0,43.0,25.0
roll_mean_48h,17.0,15.0,54.0,15.0,24.0,60.0,80.0,19.0
roll_std_48h,28.0,28.0,65.0,29.0,94.0,74.0,99.0,34.0
roll_max_48h,19.0,19.0,44.0,19.0,94.0,68.0,98.0,22.0
roll_min_48h,30.0,26.0,56.0,28.0,94.0,53.0,56.0,33.0
roll_mean_168h,23.0,23.0,63.0,23.0,94.0,67.0,71.0,26.0
roll_std_168h,31.0,30.0,69.0,31.0,94.0,102.0,109.0,36.0
roll_max_168h,27.0,27.0,59.0,27.0,68.0,86.0,70.0,32.0
roll_min_168h,35.0,31.0,67.0,34.0,54.0,54.0,63.0,39.0
roll_median_24h,13.0,12.0,42.0,13.0,52.0,17.0,41.0,16.0
roll_median_168h,24.0,24.0,62.0,25.0,94.0,78.0,69.0,27.0
hour,40.0,36.0,82.0,40.0,26.0,11.0,26.0,30.0
dayofweek,115.0,110.0,111.0,112.0,48.0,111.0,67.0,115.0
month,103.0,95.0,76.0,95.0,94.0,108.0,57.0,111.0
dayofyear,98.0,94.0,61.0,93.0,94.0,39.0,37.0,106.0
weekofyear,95.0,93.0,72.0,96.0,94.0,69.0,46.0,102.0
quarter,112.0,105.0,86.0,92.0,94.0,114.5,115.0,113.0
dayofmonth,91.0,87.0,99.0,94.0,56.0,101.0,111.0,66.0
year,77.0,77.0,101.0,85.0,27.0,112.0,93.0,59.0
is_weekend,107.0,102.0,110.0,111.0,53.0,113.0,114.0,110.0
is_peak_hour,57.0,49.0,102.0,81.0,94.0,81.0,25.0,46.0
is_business_hour,90.0,88.0,106.0,91.0,14.0,89.0,50.0,86.0
is_holiday,108.0,98.0,113.5,101.0,60.0,114.5,94.0,107.0
sin_daily_1,42.0,39.0,88.0,42.0,36.0,27.0,48.0,35.0
cos_daily_1,87.0,84.0,97.0,86.0,6.0,9.0,16.0,2.0
sin_daily_2,50.0,43.0,92.0,45.0,8.0,26.0,51.0,44.0
cos_daily_2,102.0,108.0,100.0,90.0,25.0,8.0,32.0,103.0
sin_daily_3,96.0,99.0,109.0,102.0,43.0,85.0,72.0,95.0
cos_daily_3,110.0,111.0,103.0,98.0,62.0,75.0,90.0,108.0
sin_daily_4,97.0,100.0,104.0,104.0,46.0,87.0,85.0,94.0
cos_daily_4,105.0,103.0,105.0,109.0,29.0,83.0,95.0,100.0
sin_weekly_1,104.0,96.0,90.0,106.0,47.0,100.0,105.0,101.0
cos_weekly_1,106.0,109.0,96.0,114.0,59.0,98.0,87.0,104.0
sin_weekly_2,111.0,101.0,93.0,105.0,57.0,94.0,104.0,112.0
cos_weekly_2,109.0,112.0,107.0,108.0,64.0,97.0,113.0,105.0
sin_weekly_3,113.0,114.0,113.5,113.0,72.0,92.0,106.0,109.0
cos_weekly_3,100.0,104.0,108.0,107.0,65.0,104.0,97.0,96.0
sin_weekly_4,114.0,113.0,113.5,115.0,69.0,99.0,82.0,114.0
cos_weekly_4,101.0,106.0,113.5,110.0,55.0,110.0,107.0,93.0
sin_yearly_1,52.0,47.0,81.0,74.0,31.0,96.0,74.0,57.0
cos_yearly_1,66.0,85.0,75.0,55.0,94.0,61.0,81.0,65.0
sin_yearly_2,41.0,37.0,84.0,41.0,94.0,109.0,103.0,45.0
cos_yearly_2,39.0,34.0,83.0,39.0,40.0,79.0,101.0,42.0
sin_yearly_3,99.0,107.0,94.0,103.0,71.0,106.0,110.0,99.0
cos_yearly_3,84.0,83.0,98.0,89.0,66.0,107.0,77.0,58.0
ewm_alpha01,10.0,8.0,38.0,10.0,94.0,22.0,29.0,13.0
ewm_alpha03,3.0,3.0,4.0,3.0,94.0,49.0,3.0,5.0
linear_trend,74.0,60.0,60.0,84.0,42.0,93.0,61.0,55.0
hour_x_weekend,80.0,92.0,95.0,87.0,67.0,103.0,86.0,52.0
hour_x_month,43.0,41.0,71.0,46.0,61.0,48.0,52.0,43.0
demand_rel_week,15.0,16.0,52.0,16.0,18.0,95.0,27.0,12.0
demand_change_rate,51.0,40.0,87.0,66.0,51.0,3.0,11.0,47.0
dayhour_idx,93.0,89.0,80.0,100.0,94.0,105.0,68.0,72.0
temp_lag_1h,54.0,50.0,7.0,50.0,94.0,10.0,4.0,60.0
temp_lag_24h,49.0,48.0,46.0,49.0,49.0,91.0,79.0,56.0
temp_lag_168h,46.0,44.0,74.0,48.0,41.0,84.0,102.0,48.0
temp_roll_mean_24h,88.0,86.0,47.0,78.0,94.0,58.0,75.0,92.0
temp_roll_mean_168h,59.0,80.0,64.0,77.0,94.0,82.0,96.0,63.0
temp_roll_std_24h,92.0,115.0,89.0,97.0,32.0,55.0,88.0,87.0
HDH,48.0,91.0,53.0,44.0,3.0,5.0,5.0,51.0
CDH,22.0,33.0,55.0,26.0,94.0,28.0,7.0,20.0
temp_squared,38.0,51.0,10.0,37.0,2.0,21.0,31.0,41.0
temp_cubed,32.0,56.5,9.0,33.0,4.0,14.0,13.0,28.0
temp_x_hour,37.0,45.0,51.0,38.0,94.0,25.0,12.0,37.0
CDH_x_afternoon,34.0,42.0,79.0,35.0,94.0,50.0,33.0,24.0
temp_x_weekend,94.0,97.0,73.0,99.0,94.0,88.0,44.0,98.0
temp_x_month,47.0,82.0,57.0,60.0,39.0,4.0,9.0,54.0
temp_change_rate,81.0,90.0,91.0,88.0,5.0,2.0,10.0,50.0
